URL,Words,Platform,Query,Title,Description,Language,Published Date,,,,
https://medium.com/new-york-diary/the-long-hello-c4db2ded665a,967,Medium,goodbye new york,The Long Hello - New York Diary - Mediummedium.com › new-york-diaryCached,"Not long ago, I might have written my own 'Goodbye New York'. My career had hit a wall. I was broke, restless, bitter, discontented. I looked ...",en,2013-12-06,,,,
https://medium.com/@EdwardCharles/it-s-not-you-it-s-me-9cd5bebd4431,3036,Medium,goodbye new york,"It's Not You, It's Me. - Ned Dymoke - Mediummedium.com › ...Cached","They say every writer gets a “Goodbye New York” essay. Well, this is mine. by Ned Dymoke. When I got here it was cold, the middle of January, ...",en,2015-06-01,,,,
https://medium.com/@cupojoego/goodbye-new-york-i-love-you-c9da01dd9084,1779,Medium,goodbye new york,Goodbye New York. I love you. - Joe Gonzalez - Mediummedium.com › goodbye-new-york-i-love-you-c9da01dd9084Cached,"This isn't another story about how the city was “better in my day”, nor is it a tale of regret or failed dreams. But it is a story about leaving. I tell this ...",en,2015-06-24,,,,
https://medium.com/@losvedir/goodbye-new-york-hello-singapore-4c5e910ca674,197,Medium,goodbye new york,"Goodbye New York. Hello, Singapore! - Gabe Durazo - Mediummedium.com › goodbye-new-york-hello-singapore-4c5e910ca674Cached",A few days ago we packed everything up and said goodbye to our studio in New York. We flew 12 hours to Dubai and then 7 more hours to ...,en,2015-07-31,,,,
https://medium.com/@dearestdeariz/onepoemaday-goodbye-new-york-850c34053a0b,176,Medium,goodbye new york,#OnePoemADay: Goodbye New York - Pattharin O. - Mediummedium.com › onepoemaday-goodbye-new-york-850c34053a0bCached,Here comes my first poem If it could be considered as such Not sure exactly where I'm going Just writing this first piece with guts Summer's ...,en,2015-09-09,,,,
https://medium.com/@geoffgates/goodbye-new-york-city-you-bitch-ae92c8b6a1d5,608,Medium,goodbye new york,"Goodbye, New York City. You Bitch. - Geoff Gates - Mediummedium.com › goodbye-new-york-city-you-bitch-ae92c8b6a1d5Cached","I'm gonna go ahead and say it, you're a massive bitch. But at the end of the day, I kind of love you for that. The aura that you possess is ...",en,2016-04-02,,,,
https://medium.com/@mikethomsen/goodbye-new-york-8c6e3f336d53,855,Medium,goodbye new york,New York State of Departure - Mike Thomsen - Mediummedium.com › goodbye-new-york-8c6e3f336d53Cached,My bags are packed and I'm about to lug them outside and flag down a taxi cab to take me to JFK for the very last time as a New York City ...,en,2016-08-01,,,,
https://medium.com/@sayahillman/im-about-to-waste-money-to-improve-my-life-i-hope-a3e527c8fdee,2811,Medium,goodbye new york,I'm about to waste money to improve* my life (*I hope) - Mediummedium.com › ...Cached,"Goodbye New York, I'm coming home Chicago! As I returned to the Midwest and had piles of piles to attend to, I found myself with burning eyes ...",en,2016-09-08,,,,
https://medium.com/@climatebrad/climate-hearings-af27a3886a43,15094,Medium,goodbye new york,A Timeline of Climate Science and Policy - Brad Johnson ...medium.com › ...,"“Goodbye New York. Goodbye Washington, for that matter.” October 15 — Sen. George Aiken (R-Vt.) and Edward P. Radford, M.D. at Public ...",en,2016-09-28,,,,
https://medium.com/@remotelyliving/bruised-and-blessed-2b26e3737534,1041,Medium,goodbye new york,Bruised and Blessed - Christian Thomas - Mediummedium.com › ...Cached,"Goodbye New York friends. You're the most diverse, creative, tragic, intelligent, wise, funny, wry, kind, generous, tasteful, and beautiful people I ...",en,2017-05-09,,,,
https://medium.com/@classic_cyn/cruising-log-new-england-summer-2013-999655bce8ca,9129,Medium,goodbye new york,Cruising Log New England Summer 2013 - Cindy Mangus ...medium.com › ...Cached,"Goodbye New York. Another successful trip through Hell Gate into Port Washington (we are beginning to feel like this is home). June 1, 2",en,2017-09-02,,,,
https://medium.com/snipette/new-york-city-in-35mm-826aa6b2a52b,1009,Medium,goodbye new york,New York City in 35mm - Snipette - Mediummedium.com › snipetteCached,"Goodbye New York. New York City is such a great source of inspiration, especially for analog photography. Just take the camera with you and ...",en,2018-01-07,,,,
https://medium.com/@simonjamesdean/7-behaviours-that-changed-my-life-in-2017-e8c339a88cbc,1626,Medium,goodbye new york,7 behaviours that changed my life in 2017 - Simon Dean ...medium.com › ...Cached,"Goodbye New York! In change lies reflection. Reflection can seed ambition, purpose and renewed vigor. That's what I'm writing about here.",en,2018-01-18,,,,
https://medium.com/@ashleyjudd1020/rita-dominic-biography-wiki-net-worth-and-photos-db58ce1a3e35,1079,Medium,goodbye new york,"Rita Dominic Biography, Wiki, Net Worth and Photos - Mediummedium.com › ...Cached","Goodbye New York — In this movie, she was able to work with Africa biggest star Genevieve Nnaji. All My Life — She signed a movie with a ...",en,2018-03-26,,,,
https://medium.com/@ashleyjudd1020/genevieve-nnaji-nigerian-actress-biography-wiki-and-net-worth-3b684f8d2d4e,1062,Medium,goodbye new york,"Genevieve Nnaji Nigerian Actress Biography, Wiki and Net ...medium.com › ...Cached","Bumper to Bumper, Critical Decision, Dangerous Sister, Goodbye New York, He Lives in Me, Into Temptation, and My First Love. Never Die for ...",en,2018-04-06,,,,
https://medium.com/poets-unlimited/new-york-city-a-goodbye-poem-5a7a4f12b30b,236,Medium,goodbye new york,New York City: A Goodbye Poem - Poets Unlimited - Mediummedium.com › poets-unlimitedCached,"Soaking up the last words you speak before setting you free. To be someone else's discovery, goodbye New York City. mv. IG: @i.live.on.light.",en,2018-11-11,,,,
https://medium.com/@cmpohl/goodbye-new-york-city-f3f7bd31aef0?source=rss-------1,731,Medium,goodbye new york,"Goodbye, New York City - Carolyn Pohl - Mediummedium.com › goodbye-new-york-city-f3f7bd31aef0Cached",I remember the day I moved in like it was yesterday afternoon. My room in a renovated tenement building with railroad apartments — pleasant ...,en,2019-06-24,,,,
https://medium.com/@cecilepineda/chugging-uphill-unearthing-dead-presidents-2493680146dc,2601,Medium,goodbye new york,"Chugging Uphill, Unearthing Dead Presidents - Cecile Pineda ...medium.com › ...Cached",It read: 'Goodbye New York. Goodbye Washington.' I knew then that we needed to build an electric vehicle fleet.” YOUTH : So what did The ...,en,2019-07-08,,,,
https://medium.com/@JenniferBRhodes/dating-strategy-for-empaths-2590224bd042,1597,Medium,goodbye new york,Dating Strategy for Empaths - Dr. Jennifer B. Rhodes - Mediummedium.com › ...Cached,"Whether it is a person, a location, or an entire city (goodbye New York). The key to dating as an empath is learning how to trust your ...",en,2020-01-08,,,,
https://medium.com/the-awl/tales-of-privatization-goodbye-nyc-parking-a9508c945916,172,Medium,goodbye nyc,"Tales of Privatization: Goodbye, NYC Parking! - The Awl ...medium.com › the-awl › tales-of-privatization-goodbye-nyc-parking-...Cached",This brief little nugget in the Post today should sound the alarm for all lovers of Freedom and the Free Market: the Department of City Planning is working on a ...,en,2010-06-21,,,,
https://medium.com/evan-cudworth/the-12-000-steps-how-a-running-club-for-the-homeless-taught-me-to-confront-my-addiction-to-nyc-1920efbf7ba6,1581,Medium,goodbye nyc,"The 12,000 Steps: How a Running Club for the Homeless ...medium.com › evan-cudworthCached","It's important to remember that NYC doesn't give a shit if we leave, which is why the “Goodbye NYC” essay has become a subject of much ...",en,2016-05-14,,,,
https://medium.com/@chenyuz/thank-you-for-the-sharing-fabian-very-helpful-insights-1b986d15a47e,38,Medium,goodbye nyc,"Thank you for the sharing, Fabian! Very helpful insights :)medium.com › ...Cached",Get started. Goodbye NYC — 3 things I learned in the last 8 years about making the most of living in the city. 158. 6. Fabian Pfortmüller · Chenyu Zheng. Follow.,en,2016-11-11,,,,
https://medium.com/@sandromeyer/an-actionable-and-honest-reflection-of-what-it-means-to-live-in-new-york-thank-you-fabian-cd2484d472b3,45,Medium,goodbye nyc,"An actionable, and honest reflection of what it means to live in ...medium.com › ...Cached",Goodbye NYC — 3 things I learned in the last 8 years about making the most of living in the city. 160. 6. Fabian Pfortmüller · Sandro Meyer.,en,2016-11-13,,,,
https://medium.com/@kareldesmet/enjoyable-read-man-thanks-for-sharing-ad46a355f585?source=responses---------2-31---------,49,Medium,goodbye nyc,"Enjoyable read man, thanks for sharing! - Karel De Smet ...medium.com › ...Cached",Get started. Goodbye NYC — 3 things I learned in the last 8 years about making the most of living in the city. 158. 6. Fabian Pfortmüller · Karel De Smet. Follow.,en,2016-11-13,,,,
https://medium.com/@SKolhatkar/the-tcs-new-york-marathon-662300abf707,3434,Medium,goodbye nyc,The TCS New York Marathon - Smita Kolhatkar - Mediummedium.com › ...Cached,The TCS New York Marathon. Being my first marathon outside California and being one after a two year hiatus with barely having come out of ...,en,2016-11-13,,,,
https://medium.com/@michaelrad/agreed-filing-this-one-under-great-life-decisions-e205f0efea82?source=responses---------1-31---------,91,Medium,goodbye nyc,agreed. filing this one under great life decisions - michaelrad ...medium.com › ...Cached,"Goodbye NYC — 3 things I learned in the last 8 years about making the most of living in the city. 158. 6. Fabian Pfortmüller · michaelrad. Follow. Nov 16, 2016 · 1 ...",en,2016-11-16,,,,
https://medium.com/@pforti/what-i-learned-about-my-ego-while-hiking-the-john-muir-trail-this-summer-b682cfb75ba9,887,Medium,goodbye nyc,What I learned about my ego while hiking the John Muir Trail ...medium.com › ...Cached,... Transition phases are tough — these 6 insights help me navigate mine · Goodbye NYC — 3 things I learned in the last 8 years about making ...,en,2016-12-05,,,,
https://medium.com/@jadessong/highlights?source=post_stats_page---------------------------,-,Medium,goodbye nyc,Story highlights by Jade Song – Mediummedium.com › highlightsCached,From Goodbye NYC — 3 things I learned in the last 8 years about making the most of living in the city by Fabian Pfortmüller · To thrive in NYC I had to find a ...,en,-,,,,
